Instance,Original_Cost,NeuOpt_Cost,Original_Time,NeuOpt_Time,Original_TimeToBest,NeuOpt_TimeToBest,Original_LastImprovement,NeuOpt_LastImprovement,Original_ConvergenceRate,NeuOpt_ConvergenceRate,Improvement,Area,Avg_Distance,X_Range,Y_Range
1,3.4234890937805176,1.505103349685669,58.1720871925354,32.915236473083496,18.033347029685974,26.003036813735964,31,79,3.669777371666648,4.037766747176647,56.035982342692336,0.8901828,0.5325441,0.9168434,0.9709213
2,3.379242420196533,2.424583673477173,58.55805325508118,33.085081338882446,21.080899171829223,15.880839042663574,36,48,3.649903158346812,4.6053554058074955,28.25067361292885,0.90057343,0.60377365,0.9200042,0.9788797
3,2.0356807708740234,1.260193109512329,58.23215913772583,32.92200064659119,37.26858184814453,24.36228047847748,64,74,3.69100178082784,4.655867195129394,38.094757903948626,0.8182302,0.54325056,0.8923503,0.9169383
4,2.1994900703430176,1.5823894739151,58.174190282821655,32.74905443191528,20.36096659898758,26.199243545532227,35,80,1.8970308814729964,3.708021781661294,28.05653022710299,0.7621349,0.48326376,0.91674393,0.83134985
5,2.764861583709717,1.872295618057251,58.32544994354248,32.92319202423096,37.91154246330262,32.92319202423096,65,100,2.76241405804952,3.6298388838768005,32.28248281618775,0.8060305,0.5455229,0.907864,0.8878318
